Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,TotalHouseholds,TotalOccasions,OverallAvgPrice,PctFeature,PctDisplay
59,43,4,0.33,4.22,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
59,43,4,0.0,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
59,43,4,0.33,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
60,43,11,0.33,4.98,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
60,43,11,0.33,4.22,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
60,43,11,0.0,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
60,43,11,0.33,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
61,43,11,0.33,4.98,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
61,43,11,0.33,4.22,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
61,43,11,0.0,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
61,43,11,0.33,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
62,46,2,0.0,5.08,0,1,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
62,46,2,0.0,4.67,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
62,46,2,0.16,5.06,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
62,46,2,0.79,4.67,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
63,46,6,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
63,46,6,0.0,4.36,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
63,46,6,0.16,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
63,46,6,0.79,4.89,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
64,46,7,0.0,5.28,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
64,46,7,0.0,4.36,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
